4,00:34:00,00:36:30,2040,2190,https://www.youtube.com/watch?v=bY2Dl8HsZIE,./audio/speakers/ap_4_speaker_SPEAKER_00_segment_0.wav,0,SPEAKER_00,2.03909375,3.96284375,"If you have a question, please stand up."
4,00:34:00,00:36:30,2040,2190,https://www.youtube.com/watch?v=bY2Dl8HsZIE,./audio/speakers/ap_4_speaker_SPEAKER_00_segment_1.wav,1,SPEAKER_00,8.265968750000003,9.497843750000001,"Okay, Adrian."
4,00:34:00,00:36:30,2040,2190,https://www.youtube.com/watch?v=bY2Dl8HsZIE,./audio/speakers/ap_4_speaker_SPEAKER_00_segment_2.wav,2,SPEAKER_00,12.09659375,16.11284375,"Uh, we're the, we had the"
4,00:34:00,00:36:30,2040,2190,https://www.youtube.com/watch?v=bY2Dl8HsZIE,./audio/speakers/ap_4_speaker_SPEAKER_00_segment_6.wav,6,SPEAKER_00,41.10471875,48.31034375,"I just wanted to do a real setback and a low pitch, but all right. So if you feel like you want to go to the church, you can do that. I can also send someone."
4,00:34:00,00:36:30,2040,2190,https://www.youtube.com/watch?v=bY2Dl8HsZIE,./audio/speakers/ap_4_speaker_SPEAKER_00_segment_7.wav,7,SPEAKER_00,55.36409375,63.025343750000005,"Well, I'm quite experienced with being hard, so this will be quite easy for me. But maybe facilitating discussions is something that will be very interesting."
4,00:34:00,00:36:30,2040,2190,https://www.youtube.com/watch?v=bY2Dl8HsZIE,./audio/speakers/ap_4_speaker_SPEAKER_00_segment_8.wav,8,SPEAKER_00,63.37971875,80.28846875,"But yeah, I'm up for the challenge. I've been in this team for eight years now. Hope that's long enough to also show what I learned over the years. And yeah, have these very nice dialogues with everyone around here. So definitely up for the challenge. Thank you for the question."
4,00:34:00,00:36:30,2040,2190,https://www.youtube.com/watch?v=bY2Dl8HsZIE,./audio/speakers/ap_4_speaker_SPEAKER_00_segment_10.wav,10,SPEAKER_00,93.24846875,98.59784375000001,"Yeah, it's more than just a number, you know, it's a lifestyle I heard"
4,00:34:00,00:36:30,2040,2190,https://www.youtube.com/watch?v=bY2Dl8HsZIE,./audio/speakers/ap_4_speaker_SPEAKER_00_segment_11.wav,11,SPEAKER_00,99.15471875,110.98409375000001,"And there are many, many things you can find in it. I think Mikey also has quite some experience with it, also together with me. But for now, I'm alone in my room, Mikey. You can figure it out tonight, so no worries."
4,00:34:00,00:36:30,2040,2190,https://www.youtube.com/watch?v=bY2Dl8HsZIE,./audio/speakers/ap_4_speaker_SPEAKER_00_segment_12.wav,12,SPEAKER_00,120.13034375000001,122.23971875000001,We have time for one more question.
4,00:34:00,00:36:30,2040,2190,https://www.youtube.com/watch?v=bY2Dl8HsZIE,./audio/speakers/ap_4_speaker_SPEAKER_00_segment_13.wav,13,SPEAKER_00,137.15721875,139.84034375000002,"Might not be a full backflip, but let's give it a try at least."
4,00:34:00,00:36:30,2040,2190,https://www.youtube.com/watch?v=bY2Dl8HsZIE,./audio/speakers/ap_4_speaker_SPEAKER_00_segment_14.wav,14,SPEAKER_00,141.20721875,144.04221875000002,"We need the chairperson, so please, safety."
8.1,00:59:50,01:00:30,3590,3630,https://www.youtube.com/watch?v=bY2Dl8HsZIE,./audio/speakers/ap_8.1_speaker_SPEAKER_01_segment_1.wav,1,SPEAKER_01,4.199093749999999,13.193468750000001,"Sorry, sorry, please get the mic also next time stand up would be nice and name and logo please so the Secretaries can write everything down"
